event_id,node_id,initial_x,initial_y,final_x,final_y,initial_sf,final_sf,initial_tx_power,final_tx_power,start_time,end_time,energy_J,result,gateway_id
6,3,818.6193201650208,586.1924351157043,537.3831900683317,576.8710373479313,7,7,14.0,2.0,0.03563285069675885,0.07966485069675885,0.0011060338335222978,Success,0.0
38,19,168.11466083844306,135.41053582114736,633.8819273324463,832.2531279835749,10,7,14.0,2.0,2.7068532430228784,2.9771892430228784,0.006790533303485736,Success,0.0
30,15,809.3768955961881,676.8838232593741,117.55316348988987,642.6570074197015,8,7,14.0,2.0,4.34311010345133,4.42093410345133,0.001954850496458015,Success,0.0
14,7,908.024159778063,733.4833770141684,461.04006339141677,340.2428184357249,12,7,14.0,2.0,6.897504482957716,7.815008482957716,0.023046658484557652,Success,0.0
26,13,561.9751347290974,952.8718265302819,754.3000643560098,92.66386472143273,11,7,14.0,2.0,7.027984585557408,7.568656585557408,0.013581066606971472,Success,0.0
42,15,809.3768955961881,676.8838232593741,117.55316348988987,642.6570074197015,8,7,14.0,2.0,7.270975487146318,7.3150074871463175,6.978601705044775e-05,Success,0.0
41,19,168.11466083844306,135.41053582114736,633.8819273324463,832.2531279835749,10,7,14.0,2.0,7.940842092706753,7.984874092706753,6.978601705044775e-05,Success,0.0
1,0,867.5861553957074,99.07880498304411,344.60059344330085,762.3930251895925,9,7,14.0,2.0,10.0,10.0,0.0,Mobility,
3,1,155.14910892458568,981.5825162292364,615.0136524200789,797.7720872348494,8,7,14.0,2.0,10.0,10.0,0.0,Mobility,
5,2,132.57140369433063,883.1392963863779,168.0128774969305,966.6840664694678,10,7,14.0,2.0,10.0,10.0,0.0,Mobility,
7,3,818.6193201650208,586.1924351157043,537.3831900683317,576.8710373479313,7,7,14.0,2.0,10.0,10.0,0.0,Mobility,
9,4,888.1998485511159,496.35843758049293,499.62278181515575,95.42064689277052,8,7,14.0,2.0,10.0,10.0,0.0,Mobility,
11,5,71.31908256740216,15.574884482125073,310.0120899946003,116.44401761230027,12,7,14.0,2.0,10.0,10.0,0.0,Mobility,
13,6,500.3736999066967,723.0609803129427,269.26139440784846,518.1739622265277,10,7,14.0,2.0,10.0,10.0,0.0,Mobility,
15,7,908.024159778063,733.4833770141684,461.04006339141677,340.2428184357249,12,7,14.0,2.0,10.0,10.0,0.0,Mobility,
17,8,706.2017592075204,17.841557656584904,978.8713664103964,724.8897591582424,9,7,14.0,2.0,10.0,10.0,0.0,Mobility,
19,9,623.8356088389882,482.3038907933122,558.004600316618,687.920898210358,8,7,14.0,2.0,10.0,10.0,0.0,Mobility,
21,10,475.43614994417794,48.392268693150385,69.32510327842733,193.94271475568857,11,7,14.0,2.0,10.0,10.0,0.0,Mobility,
23,11,450.84407337278986,548.7839762829241,495.5519041455759,28.899122478820093,12,7,14.0,2.0,10.0,10.0,0.0,Mobility,
25,12,848.9869617661523,285.06193778823075,47.95884442777299,483.0920285954779,8,7,14.0,2.0,10.0,10.0,0.0,Mobility,
27,13,561.9751347290974,952.8718265302819,754.3000643560098,92.66386472143273,11,7,14.0,2.0,10.0,10.0,0.0,Mobility,
29,14,718.8486539919267,858.4485978771494,749.797899225572,945.8186676152992,12,7,14.0,2.0,10.0,10.0,0.0,Mobility,
31,15,809.3768955961881,676.8838232593741,117.55316348988987,642.6570074197015,8,7,14.0,2.0,10.0,10.0,0.0,Mobility,
33,16,872.4011649911365,570.319211074428,842.6933760957166,559.5737743676073,12,7,14.0,2.0,10.0,10.0,0.0,Mobility,
35,17,762.606856882313,815.8512303884542,86.91413492003286,987.0416340377515,12,7,14.0,2.0,10.0,10.0,0.0,Mobility,
37,18,922.6988042065609,583.9012644750682,229.2980868053044,170.6478746213621,11,7,14.0,2.0,10.0,10.0,0.0,Mobility,
39,19,168.11466083844306,135.41053582114736,633.8819273324463,832.2531279835749,10,7,14.0,2.0,10.0,10.0,0.0,Mobility,
2,1,155.14910892458568,981.5825162292364,615.0136524200789,797.7720872348494,8,7,14.0,2.0,11.318123176288438,11.395947176288438,0.001954850496458015,Success,0.0
44,13,561.9751347290974,952.8718265302819,754.3000643560098,92.66386472143273,11,7,14.0,2.0,14.797015017328611,14.841047017328611,6.978601705044775e-05,Success,0.0
28,14,718.8486539919267,858.4485978771494,749.797899225572,945.8186676152992,12,7,14.0,2.0,15.67648744078895,16.59399144078895,0.023046658484557652,Success,0.0
47,0,867.5861553957074,99.07880498304411,344.60059344330085,762.3930251895925,9,7,14.0,2.0,20.0,20.0,0.0,Mobility,
48,1,155.14910892458568,981.5825162292364,615.0136524200789,797.7720872348494,8,7,14.0,2.0,20.0,20.0,0.0,Mobility,
49,2,132.57140369433063,883.1392963863779,168.0128774969305,966.6840664694678,10,7,14.0,2.0,20.0,20.0,0.0,Mobility,
50,3,818.6193201650208,586.1924351157043,537.3831900683317,576.8710373479313,7,7,14.0,2.0,20.0,20.0,0.0,Mobility,
51,4,888.1998485511159,496.35843758049293,499.62278181515575,95.42064689277052,8,7,14.0,2.0,20.0,20.0,0.0,Mobility,
52,5,71.31908256740216,15.574884482125073,310.0120899946003,116.44401761230027,12,7,14.0,2.0,20.0,20.0,0.0,Mobility,
53,6,500.3736999066967,723.0609803129427,269.26139440784846,518.1739622265277,10,7,14.0,2.0,20.0,20.0,0.0,Mobility,
54,7,908.024159778063,733.4833770141684,461.04006339141677,340.2428184357249,12,7,14.0,2.0,20.0,20.0,0.0,Mobility,
55,8,706.2017592075204,17.841557656584904,978.8713664103964,724.8897591582424,9,7,14.0,2.0,20.0,20.0,0.0,Mobility,
56,9,623.8356088389882,482.3038907933122,558.004600316618,687.920898210358,8,7,14.0,2.0,20.0,20.0,0.0,Mobility,
57,10,475.43614994417794,48.392268693150385,69.32510327842733,193.94271475568857,11,7,14.0,2.0,20.0,20.0,0.0,Mobility,
58,11,450.84407337278986,548.7839762829241,495.5519041455759,28.899122478820093,12,7,14.0,2.0,20.0,20.0,0.0,Mobility,
59,12,848.9869617661523,285.06193778823075,47.95884442777299,483.0920285954779,8,7,14.0,2.0,20.0,20.0,0.0,Mobility,
60,13,561.9751347290974,952.8718265302819,754.3000643560098,92.66386472143273,11,7,14.0,2.0,20.0,20.0,0.0,Mobility,
61,14,718.8486539919267,858.4485978771494,749.797899225572,945.8186676152992,12,7,14.0,2.0,20.0,20.0,0.0,Mobility,
62,15,809.3768955961881,676.8838232593741,117.55316348988987,642.6570074197015,8,7,14.0,2.0,20.0,20.0,0.0,Mobility,
63,16,872.4011649911365,570.319211074428,842.6933760957166,559.5737743676073,12,7,14.0,2.0,20.0,20.0,0.0,Mobility,
64,17,762.606856882313,815.8512303884542,86.91413492003286,987.0416340377515,12,7,14.0,2.0,20.0,20.0,0.0,Mobility,
65,18,922.6988042065609,583.9012644750682,229.2980868053044,170.6478746213621,11,7,14.0,2.0,20.0,20.0,0.0,Mobility,
66,19,168.11466083844306,135.41053582114736,633.8819273324463,832.2531279835749,10,7,14.0,2.0,20.0,20.0,0.0,Mobility,
24,12,848.9869617661523,285.06193778823075,47.95884442777299,483.0920285954779,8,7,14.0,2.0,20.1135063317922,20.191330331792198,0.001954850496458015,Success,0.0
67,1,155.14910892458568,981.5825162292364,615.0136524200789,797.7720872348494,8,7,14.0,2.0,20.197437149318638,20.24146914931864,6.978601705044775e-05,Success,0.0
34,17,762.606856882313,815.8512303884542,86.91413492003286,987.0416340377515,12,7,14.0,2.0,21.587702175609543,22.505206175609544,0.023046658484557652,Success,0.0
68,13,561.9751347290974,952.8718265302819,754.3000643560098,92.66386472143273,11,7,14.0,2.0,22.374789818652282,22.418821818652283,6.978601705044775e-05,Success,0.0
90,12,848.9869617661523,285.06193778823075,47.95884442777299,483.0920285954779,8,7,14.0,2.0,22.609334062971257,22.65336606297126,6.978601705044775e-05,Success,0.0
45,15,809.3768955961881,676.8838232593741,117.55316348988987,642.6570074197015,8,7,14.0,2.0,23.22482916057053,23.26886116057053,6.978601705044775e-05,Success,0.0
12,6,500.3736999066967,723.0609803129427,269.26139440784846,518.1739622265277,10,7,14.0,2.0,23.44828791823504,23.71862391823504,0.006790533303485736,Success,0.0
69,14,718.8486539919267,858.4485978771494,749.797899225572,945.8186676152992,12,7,14.0,2.0,23.65936016694182,23.70339216694182,6.978601705044775e-05,Success,0.0
95,15,809.3768955961881,676.8838232593741,117.55316348988987,642.6570074197015,8,7,14.0,2.0,24.858539495554755,24.902571495554756,6.978601705044775e-05,Success,0.0
