event_id,node_id,initial_x,initial_y,final_x,final_y,initial_sf,final_sf,initial_tx_power,final_tx_power,start_time,end_time,energy_J,result,gateway_id
12,6,630.2185798520152,560.1981887748361,115.55825631290485,214.87004705225888,12,7,14.0,2.0,2.6673344739425047,3.5848384739425048,0.023046658484557652,Success,0.0
8,4,663.6759648759673,719.9708668759389,145.8825853255672,853.0477925966276,9,7,14.0,2.0,5.536736689513671,5.6719046895136715,0.003395266651742868,Success,0.0
38,19,732.9799518250687,193.58269730979106,151.46677688186372,812.3310902457716,9,7,14.0,2.0,9.331196650410288,9.466364650410288,0.003395266651742868,Success,0.0
1,0,674.1243091759839,365.1313148672577,308.4235312372617,760.1266967772904,9,7,14.0,2.0,10.0,10.0,0.0,Mobility,
3,1,470.9150257024641,605.5942304104256,545.2730214760404,441.90061804039505,7,7,14.0,2.0,10.0,10.0,0.0,Mobility,
5,2,330.71400639432915,425.3921107123502,988.0149707122266,870.2400315209845,8,7,14.0,2.0,10.0,10.0,0.0,Mobility,
7,3,474.0811343457413,677.7687226367748,954.3174417799524,623.589202552821,12,7,14.0,2.0,10.0,10.0,0.0,Mobility,
9,4,663.6759648759673,719.9708668759389,145.8825853255672,853.0477925966276,9,7,14.0,2.0,10.0,10.0,0.0,Mobility,
11,5,548.6614941171365,461.5330797554466,155.56127350508774,30.774032226203786,9,7,14.0,2.0,10.0,10.0,0.0,Mobility,
13,6,630.2185798520152,560.1981887748361,115.55825631290485,214.87004705225888,12,7,14.0,2.0,10.0,10.0,0.0,Mobility,
15,7,714.993267428876,360.7632114719901,448.8153628364685,714.5690852782994,9,7,14.0,2.0,10.0,10.0,0.0,Mobility,
17,8,330.5452869394082,136.33595298760736,117.91764498967706,485.1055966912066,9,7,14.0,2.0,10.0,10.0,0.0,Mobility,
19,9,82.36684418623308,686.8736823479837,183.05226533583297,902.9861927772895,8,7,14.0,2.0,10.0,10.0,0.0,Mobility,
21,10,88.57375414299918,200.7560312304638,33.33236380458982,55.62933143443005,7,7,14.0,2.0,10.0,10.0,0.0,Mobility,
23,11,174.97923000991656,553.4171447318731,463.9748289286174,498.8600957971971,8,7,14.0,2.0,10.0,10.0,0.0,Mobility,
25,12,520.9861553437536,915.7280097480175,272.6731385755109,222.85224008375394,12,8,14.0,2.0,10.0,10.0,0.0,Mobility,
27,13,355.1927568853878,215.98885598781646,895.0086791084718,532.2983842586873,10,7,14.0,2.0,10.0,10.0,0.0,Mobility,
29,14,234.044704016372,623.9098272510006,300.7615758984107,235.16851037271792,7,7,14.0,2.0,10.0,10.0,0.0,Mobility,
31,15,450.0472614486575,715.9538288241438,583.5581625884769,302.1197833256267,10,7,14.0,2.0,10.0,10.0,0.0,Mobility,
33,16,122.85635008147067,496.83175131533807,335.31353905853337,678.3693857711373,8,7,14.0,2.0,10.0,10.0,0.0,Mobility,
35,17,120.38357029716363,701.2185116773145,236.24475853756454,220.27100841212365,10,7,14.0,2.0,10.0,10.0,0.0,Mobility,
