event_id,node_id,initial_x,initial_y,final_x,final_y,initial_sf,final_sf,initial_tx_power,final_tx_power,start_time,end_time,energy_J,result,gateway_id
0,0,773.7314259972911,134.60983038062957,557.2439458206514,905.6951461330638,12,7,14.0,2.0,0.4549659366902765,1.3724699366902766,0.023046658484557652,Success,0.0
138,69,298.8064827085276,424.0971471093351,74.87497766510009,375.8162028066189,7,7,14.0,2.0,0.9936104415926057,1.0376424415926058,0.0011060338335222978,Success,0.0
2,1,776.1946799603885,545.0403966525723,527.4009582863403,26.43931678403588,10,7,14.0,2.0,1.0762032159798658,1.3465392159798657,0.006790533303485736,Success,0.0
164,82,984.4678252845268,857.120254614146,309.1770487238309,777.695506116523,7,7,14.0,2.0,1.1238602293419462,1.1678922293419463,0.0011060338335222978,Success,0.0
118,59,797.4839183499265,836.5612396019524,301.5332370248419,644.4914417975423,7,7,14.0,2.0,1.2999992264910174,1.3440312264910175,0.0011060338335222978,Success,0.0
26,13,107.25204817907886,662.2130510787184,378.87060290420203,420.8377842912909,7,7,14.0,2.0,1.4265845148739154,1.4706165148739154,0.0011060338335222978,Success,0.0
10,5,487.7826735185918,627.9172413910279,883.2170799104887,206.2643000221478,9,7,14.0,2.0,1.4597627196984493,1.5949307196984492,0.003395266651742868,Success,0.0
166,83,354.18078511237974,497.2764646273514,153.95436954573916,824.1783823044527,8,8,14.0,2.0,1.7136497860310582,1.7914737860310581,0.001954850496458015,Success,0.0
92,46,463.2461935144335,811.9580037171319,504.6029489190254,525.8957948960768,8,8,14.0,2.0,2.1591912585687276,2.2370152585687277,0.001954850496458015,Success,0.0
186,93,458.94390121404416,5.960258739477253,208.18672675311456,660.2920166957572,12,7,14.0,2.0,3.0841865440985714,4.0016905440985715,0.023046658484557652,CollisionLoss,
156,78,803.7671302839792,883.4545709352838,686.0798155577689,50.72062506476638,9,7,14.0,2.0,3.4687312041288045,3.6038992041288047,0.003395266651742868,Success,0.0
44,22,942.8989154572869,225.7286906171392,320.65905811642347,815.5633699384116,12,7,14.0,2.0,3.60966821369095,4.52717221369095,0.023046658484557652,Success,0.0
