event_id,node_id,initial_x,initial_y,final_x,final_y,initial_sf,final_sf,initial_tx_power,final_tx_power,start_time,end_time,energy_J,result,gateway_id
24,12,913.0966184197937,755.5815755841403,919.961662116319,954.5759752164266,12,12,14.0,14.0,0.029048837848466753,0.9465528378484668,0.023046658484557652,Success,0.0
26,13,888.3807177255525,111.07011171779236,229.76285215904568,974.3099844608435,11,11,14.0,14.0,0.7029883347614878,1.2436603347614876,0.013581066606971472,Success,0.0
30,15,298.1110388674173,44.77436865226936,174.242355084412,216.78323357424668,11,11,14.0,14.0,1.475599641685467,2.016271641685467,0.013581066606971472,Success,0.0
4,2,235.7515538155569,785.319352469463,423.8793394268171,482.75459097659603,9,9,14.0,14.0,5.769742321893168,5.904910321893168,0.003395266651742868,Success,0.0
32,16,545.2780299399468,59.667520594115395,372.8122599019851,227.0969204411446,12,12,14.0,14.0,6.248136335537509,7.165640335537509,0.023046658484557652,CollisionLoss,
0,0,125.71194365664351,325.68012285911396,893.095546369221,450.31225491804474,12,12,14.0,14.0,6.852518330614316,7.770022330614316,0.023046658484557652,CollisionLoss,
28,14,129.8720284948415,821.0723161995846,68.59970240841929,599.7421224929248,9,9,14.0,14.0,7.0398635184378735,7.175031518437874,0.003395266651742868,Success,0.0
2,1,941.4722617484431,74.57725727087438,513.1023162332276,920.4176524947583,8,8,14.0,14.0,8.87157941631746,8.949403416317459,0.001954850496458015,Success,0.0
1,0,125.71194365664351,325.68012285911396,893.095546369221,450.31225491804474,12,12,14.0,14.0,10.0,10.0,0.0,Mobility,
3,1,941.4722617484431,74.57725727087438,513.1023162332276,920.4176524947583,8,8,14.0,14.0,10.0,10.0,0.0,Mobility,
5,2,235.7515538155569,785.319352469463,423.8793394268171,482.75459097659603,9,9,14.0,14.0,10.0,10.0,0.0,Mobility,
7,3,490.43962748993675,300.93331698014106,995.349868945047,295.16993832253803,11,11,14.0,14.0,10.0,10.0,0.0,Mobility,
9,4,684.2535405360267,61.923852296302265,637.2092217248048,446.2729695964224,9,9,14.0,14.0,10.0,10.0,0.0,Mobility,
11,5,46.20799682734755,41.34731719207818,790.4687712114982,540.6115399018865,9,9,14.0,14.0,10.0,10.0,0.0,Mobility,
13,6,95.72687022915937,666.6349980537977,910.2725334998523,942.8265020038046,10,10,14.0,14.0,10.0,10.0,0.0,Mobility,
15,7,15.945234496786975,196.56153587298186,197.32326916790234,850.1882285478856,11,11,14.0,14.0,10.0,10.0,0.0,Mobility,
17,8,220.99659532701176,137.64810589033738,861.440151186784,843.9582370435409,12,12,14.0,14.0,10.0,10.0,0.0,Mobility,
19,9,756.6769793985738,218.7865159691571,127.4746131487311,651.8788338820274,9,9,14.0,14.0,10.0,10.0,0.0,Mobility,
21,10,11.319120198910237,408.9506673573645,818.2015119253834,340.79866128336766,7,7,14.0,14.0,10.0,10.0,0.0,Mobility,
23,11,724.0987781591665,800.1205008258733,393.59524032234526,981.5006045674576,7,7,14.0,14.0,10.0,10.0,0.0,Mobility,
25,12,913.0966184197937,755.5815755841403,919.961662116319,954.5759752164266,12,12,14.0,14.0,10.0,10.0,0.0,Mobility,
27,13,888.3807177255525,111.07011171779236,229.76285215904568,974.3099844608435,11,11,14.0,14.0,10.0,10.0,0.0,Mobility,
29,14,129.8720284948415,821.0723161995846,68.59970240841929,599.7421224929248,9,9,14.0,14.0,10.0,10.0,0.0,Mobility,
31,15,298.1110388674173,44.77436865226936,174.242355084412,216.78323357424668,11,11,14.0,14.0,10.0,10.0,0.0,Mobility,
33,16,545.2780299399468,59.667520594115395,372.8122599019851,227.0969204411446,12,12,14.0,14.0,10.0,10.0,0.0,Mobility,
35,17,443.87916518082113,113.91175706947598,11.302986421396044,692.0844896168252,9,9,14.0,14.0,10.0,10.0,0.0,Mobility,
37,18,516.0776443997199,883.8471336628588,585.5796948628832,641.0043148847602,11,11,14.0,14.0,10.0,10.0,0.0,Mobility,
39,19,221.48434003469907,586.5017276809459,956.1785338556869,677.5997615954259,10,10,14.0,14.0,10.0,10.0,0.0,Mobility,
12,6,95.72687022915937,666.6349980537977,910.2725334998523,942.8265020038046,10,10,14.0,14.0,12.820833944915604,13.091169944915604,0.006790533303485736,Success,0.0
8,4,684.2535405360267,61.923852296302265,637.2092217248048,446.2729695964224,9,9,14.0,14.0,12.9805792858225,13.1157472858225,0.003395266651742868,Success,0.0
44,16,545.2780299399468,59.667520594115395,372.8122599019851,227.0969204411446,12,12,14.0,14.0,13.129299481652573,14.046803481652573,0.023046658484557652,Success,0.0
34,17,443.87916518082113,113.91175706947598,11.302986421396044,692.0844896168252,9,9,14.0,14.0,13.837440942287353,13.972608942287353,0.003395266651742868,Success,0.0
14,7,15.945234496786975,196.56153587298186,197.32326916790234,850.1882285478856,11,11,14.0,14.0,14.115501189473703,14.656173189473703,0.013581066606971472,Success,0.0
42,15,298.1110388674173,44.77436865226936,174.242355084412,216.78323357424668,11,11,14.0,14.0,14.789018152273531,15.329690152273532,0.013581066606971472,Success,0.0
16,8,220.99659532701176,137.64810589033738,861.440151186784,843.9582370435409,12,12,14.0,14.0,15.42083006914565,16.33833406914565,0.023046658484557652,Success,0.0
38,19,221.48434003469907,586.5017276809459,956.1785338556869,677.5997615954259,10,10,14.0,14.0,15.867388810536507,16.137724810536508,0.006790533303485736,Success,0.0
41,13,888.3807177255525,111.07011171779236,229.76285215904568,974.3099844608435,11,11,14.0,14.0,17.545151693357845,18.085823693357845,0.013581066606971472,Success,0.0
43,2,235.7515538155569,785.319352469463,423.8793394268171,482.75459097659603,9,9,14.0,14.0,17.75238043202825,17.88754843202825,0.003395266651742868,Success,0.0
76,13,888.3807177255525,111.07011171779236,229.76285215904568,974.3099844608435,11,11,14.0,14.0,19.204251872772062,19.744923872772063,0.013581066606971472,Success,0.0
72,7,15.945234496786975,196.56153587298186,197.32326916790234,850.1882285478856,11,11,14.0,14.0,19.83674746771368,20.37741946771368,0.013581066606971472,Success,0.0
48,0,125.71194365664351,325.68012285911396,893.095546369221,450.31225491804474,12,12,14.0,14.0,20.0,20.0,0.0,Mobility,
49,1,941.4722617484431,74.57725727087438,513.1023162332276,920.4176524947583,8,8,14.0,14.0,20.0,20.0,0.0,Mobility,
50,2,235.7515538155569,785.319352469463,423.8793394268171,482.75459097659603,9,9,14.0,14.0,20.0,20.0,0.0,Mobility,
51,3,490.43962748993675,300.93331698014106,995.349868945047,295.16993832253803,11,11,14.0,14.0,20.0,20.0,0.0,Mobility,
52,4,684.2535405360267,61.923852296302265,637.2092217248048,446.2729695964224,9,9,14.0,14.0,20.0,20.0,0.0,Mobility,
53,5,46.20799682734755,41.34731719207818,790.4687712114982,540.6115399018865,9,9,14.0,14.0,20.0,20.0,0.0,Mobility,
54,6,95.72687022915937,666.6349980537977,910.2725334998523,942.8265020038046,10,10,14.0,14.0,20.0,20.0,0.0,Mobility,
56,8,220.99659532701176,137.64810589033738,861.440151186784,843.9582370435409,12,12,14.0,14.0,20.0,20.0,0.0,Mobility,
57,9,756.6769793985738,218.7865159691571,127.4746131487311,651.8788338820274,9,9,14.0,14.0,20.0,20.0,0.0,Mobility,
58,10,11.319120198910237,408.9506673573645,818.2015119253834,340.79866128336766,7,7,14.0,14.0,20.0,20.0,0.0,Mobility,
59,11,724.0987781591665,800.1205008258733,393.59524032234526,981.5006045674576,7,7,14.0,14.0,20.0,20.0,0.0,Mobility,
60,12,913.0966184197937,755.5815755841403,919.961662116319,954.5759752164266,12,12,14.0,14.0,20.0,20.0,0.0,Mobility,
61,13,888.3807177255525,111.07011171779236,229.76285215904568,974.3099844608435,11,11,14.0,14.0,20.0,20.0,0.0,Mobility,
62,14,129.8720284948415,821.0723161995846,68.59970240841929,599.7421224929248,9,9,14.0,14.0,20.0,20.0,0.0,Mobility,
63,15,298.1110388674173,44.77436865226936,174.242355084412,216.78323357424668,11,11,14.0,14.0,20.0,20.0,0.0,Mobility,
64,16,545.2780299399468,59.667520594115395,372.8122599019851,227.0969204411446,12,12,14.0,14.0,20.0,20.0,0.0,Mobility,
65,17,443.87916518082113,113.91175706947598,11.302986421396044,692.0844896168252,9,9,14.0,14.0,20.0,20.0,0.0,Mobility,
66,18,516.0776443997199,883.8471336628588,585.5796948628832,641.0043148847602,11,11,14.0,14.0,20.0,20.0,0.0,Mobility,
67,19,221.48434003469907,586.5017276809459,956.1785338556869,677.5997615954259,10,10,14.0,14.0,20.0,20.0,0.0,Mobility,
87,7,15.945234496786975,196.56153587298186,197.32326916790234,850.1882285478856,11,11,14.0,14.0,20.37741946771368,20.37741946771368,0.0,Mobility,
